Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source
AlCl3,Al,Cl,133.34,30,31.18,2.338383080845958,0.3689156600632778,45.30659691950015,CRC
AlCl3,Al,Cl,133.34,40,31.37,2.3526323683815806,0.3715540679081999,45.70887367040653,CRC
AlCl3,Al,Cl,133.34,50,31.6,2.369881505924704,0.37472663182885874,46.198830409356724,CRC
AlCl3,Al,Cl,133.34,60,31.87,2.390130493475326,0.3784216126841875,46.77821811243212,CRC
AlCl3,Al,Cl,133.34,70,32.17,2.4126293685315736,0.38249061011242474,47.42739200943535,CRC
AlCl3,Al,Cl,133.34,80,32.51,2.43812809359532,0.3870565187065815,48.17009927396651,CRC
AlCl3,Al,Cl,133.34,90,32.9,2.4673766311684413,0.39223544716042913,49.03129657228018,CRC
AlCl3,Al,Cl,133.34,100,33.32,2.4988750562471873,0.3977445419452048,49.97000599880023,CRC
Al(ClO4)3,Al,ClO4,325.33,0,54.9,1.6875172901361695,0.22724823126440255,121.72949002217294,CRC
Al(ClO4)3,Al,ClO4,325.33,30,64.4,1.9795284787753973,0.2965617541741228,180.89887640449444,CRC
AlF3,Al,F,83.98,0,0.25,0.029768992617289828,-1.5262358616298832,0.2506265664160401,CRC
AlF3,Al,F,83.98,10,0.34,0.04048582995951417,-1.3926969532596658,0.3411599438089504,CRC
AlF3,Al,F,83.98,20,0.44,0.052393427006430106,-1.2807231938157333,0.44194455604660504,CRC
AlF3,Al,F,83.98,25,0.5,0.059537985234579656,-1.2252058659659022,0.5025125628140703,CRC
AlF3,Al,F,83.98,30,0.56,0.06668254346272923,-1.1759878432957205,0.5631536604987933,CRC
AlF3,Al,F,83.98,40,0.68,0.08097165991902834,-1.0916669575956846,0.6846556584776481,CRC
AlF3,Al,F,83.98,50,0.81,0.09645153608001907,-1.015690851423271,0.816614578082468,CRC
AlF3,Al,F,83.98,60,0.96,0.11431293165039294,-0.9419046372623525,0.9693053311793214,CRC
